param_learning_rate,param_max_depth,param_n_estimators,param_subsample,mean_test_score,std_test_score,mean_train_score,rank_test_score
0.05,6,300,0.8,0.9481999152923413,0.0022821728168894357,0.9793488638816316,1
0.1,6,200,0.8,0.9475387790455985,0.0027228832946710945,0.9851066994664214,2
0.1,6,300,0.8,0.9472378810037718,0.002562767319420808,0.9927314310126267,3
0.05,6,200,0.8,0.9455154139442451,0.0025435555616727195,0.9687851904215817,4
0.1,4,300,0.8,0.9442385106516278,0.0025657684108066773,0.9665040983764817,5
0.1,4,200,0.8,0.9426994153283921,0.00211682850640004,0.9573474154248833,6
0.05,4,300,0.8,0.9416053793301351,0.0021098007786839765,0.9522360652434179,7
0.05,4,200,0.8,0.9379207083568384,0.0024288855603297648,0.9450528598470012,8
