param_max_depth,param_min_samples_leaf,param_n_estimators,mean_test_score,std_test_score,mean_train_score,rank_test_score
12,4,200,0.9051857796662673,0.004841441484068444,0.9359076497315311,1
12,4,100,0.9043713177224129,0.004584210677310057,0.9348930977145585,2
12,8,100,0.9033778686330205,0.004433522263075968,0.9291118319449468,3
12,8,200,0.9031070885010364,0.004681431689174974,0.9293515305667281,4
8,4,200,0.8622452087531606,0.006071653418098293,0.8758198286576644,5
8,4,100,0.8620109955563253,0.0055291323152438,0.8758307258425534,6
8,8,200,0.8610813898117848,0.007753604945633931,0.8738408294963069,7
8,8,100,0.8604036139505687,0.008464299560337497,0.8731674885161919,8
